pl_name,pl_masse,pl_rade,pl_orbper,pl_eqt,sy_dist,disc_year,discoverymethod,hostname
55 Cnc e,8.152407,1.9681112129999998,0.9661064744588889,1894.635,12.5855,2004.0,Radial Velocity,55 Cnc
AU Mic b,13.703333333333333,4.089414204,8.462270532565453,649.2066666666666,9.7221,2020.0,Transit,AU Mic
AU Mic c,14.24,2.8506735533333334,18.859077000000003,456.5,9.7221,2021.0,Transit,AU Mic
BD+20 594 b,19.274050000000003,2.3878411699999997,41.686547999999995,546.0,179.461,2016.0,Transit,BD+20 594
CoRoT-10 b,875.0811,9.9189311375,13.23898152762,585.9866666666667,338.386,2010.0,Transit,CoRoT-10
CoRoT-13 b,418.57622999999995,11.601673405,4.035152887686,1455.0566666666666,1148.93,2010.0,Transit,CoRoT-13
CoRoT-14 b,2403.8182333333334,11.949524000000002,1.5121399999999998,1944.0,1744.5999999999997,2010.0,Transit,CoRoT-14
CoRoT-17 b,773.3740333333334,11.383547666666667,3.7681,1618.0,1176.12,2011.0,Transit,CoRoT-17
CoRoT-20 b,1396.53318,11.688701132,9.242968382266668,1015.33,844.061,2011.0,Transit,CoRoT-20
CoRoT-22 b,12.2,4.88,9.75598,885.0,627.158,2014.0,Transit,CoRoT-22
CoRoT-23 b,948.1848333333334,12.255356666666666,3.6313,1685.0,1060.97,2011.0,Transit,CoRoT-23
CoRoT-24 b,5.7,3.7,5.1134,1070.0,591.555,2014.0,Transit,CoRoT-24
CoRoT-24 c,28.0,5.0,11.759,850.0,591.555,2014.0,Transit,CoRoT-24
CoRoT-25 b,89.467095,12.107859999999999,4.86069,1330.0,1103.48,2013.0,Transit,CoRoT-25
CoRoT-27 b,3287.8795,11.2872315,3.57532,1500.0,1010.28,2014.0,Transit,CoRoT-27
CoRoT-3 b,6856.315725,11.3499609,4.25679955,1695.0,768.771,2008.0,Transit,CoRoT-3
CoRoT-32 b,47.6745,6.38913,6.7183689,938.0,576.683,2018.0,Transit,CoRoT-32
CoRoT-7 b,7.2493581475,1.6525073333333333,0.85362873375,1833.0,159.906,2009.0,Transit,CoRoT-7
CoRoT-8 b,69.28629000000001,6.92457725,6.2123515000000005,896.0,322.037,2010.0,Transit,CoRoT-8
DS Tuc A b,413.179,5.835256053333333,8.138396725746667,843.355,44.0622,2019.0,Transit,DS Tuc A
EPIC 201595106 b,7.67,1.3676880224999999,0.87716675,1956.0,232.1,2021.0,Transit,EPIC 201595106
EPIC 205950854 c,,1.37,8.049707333333332,960.6,243.93500000000003,2019.0,Transit,K2-168
EPIC 211822797 b,,2.0700000000000003,21.169002578333334,431.0,186.197,2016.0,Transit,EPIC 211822797
EPIC 211945201 b,19.0,5.93672341875,19.493246304545455,793.5875,181.69,2018.0,Transit,EPIC 211945201
