pl_name,pl_masse,pl_rade,pl_orbper,pl_eqt,sy_dist,disc_year,discoverymethod,hostname,density
BD+20 594 b,19.274050000000003,2.3878411699999997,41.686547999999995,546.0,179.461,2016.0,Transit,BD+20 594,1.415652544261393
CoRoT-1 b,348.97436,17.734849,1.508965289142857,1920.75,787.909,2008.0,Transit,CoRoT-1,0.06256205909269232
CoRoT-10 b,875.0811,9.9189311375,13.23898152762,585.9866666666667,338.386,2010.0,Transit,CoRoT-10,0.8967134389741569
CoRoT-11 b,777.085875,17.073794422,2.99414500074,1697.1975,655.037,2010.0,Transit,CoRoT-11,0.15612730781350168
CoRoT-12 b,285.4083125,16.047675329999997,2.828043138315,1390.57,1126.37,2010.0,Transit,CoRoT-12,0.06906058134447401
CoRoT-13 b,418.57622999999995,11.601673405,4.035152887686,1455.0566666666666,1148.93,2010.0,Transit,CoRoT-13,0.2680480519025708
CoRoT-17 b,773.3740333333334,11.383547666666667,3.7681,1618.0,1176.12,2011.0,Transit,CoRoT-17,0.5242720375807385
CoRoT-18 b,1072.6637249999999,14.256276756,1.9000768412316666,1473.3375,764.889,2011.0,Transit,CoRoT-18,0.3702075239537253
CoRoT-19 b,355.4361166666667,13.9378856875,3.8971298601033335,1700.03,790.663,2011.0,Transit,CoRoT-19,0.1312716247203928
CoRoT-2 b,1090.1411666666665,16.429179335,1.7429976162216667,1503.3875,213.283,2008.0,Transit,CoRoT-2,0.24583014049704074
CoRoT-22 b,12.2,4.88,9.75598,885.0,627.158,2014.0,Transit,CoRoT-22,0.10497850040311744
CoRoT-23 b,948.1848333333334,12.255356666666666,3.6313,1685.0,1060.97,2011.0,Transit,CoRoT-23,0.5151279792201543
CoRoT-24 b,5.7,3.7,5.1134,1070.0,591.555,2014.0,Transit,CoRoT-24,0.11253035358221625
CoRoT-24 c,28.0,5.0,11.759,850.0,591.555,2014.0,Transit,CoRoT-24,0.224
CoRoT-25 b,89.467095,12.107859999999999,4.86069,1330.0,1103.48,2013.0,Transit,CoRoT-25,0.05040355445857773
CoRoT-26 b,174.8007,14.12167,4.20474,1600.0,1045.18,2013.0,Transit,CoRoT-26,0.062070463991623304
CoRoT-32 b,47.6745,6.38913,6.7183689,938.0,576.683,2018.0,Transit,CoRoT-32,0.18279359426286937
CoRoT-35 b,349.6112477,18.83108758,3.22748,1747.0,1123.21,2022.0,Transit,CoRoT-35,0.05235512329922307
CoRoT-36 b,216.12331676,15.80466279,5.616531,1567.0,925.958,2022.0,Transit,CoRoT-36,0.05474518421718581
CoRoT-4 b,228.1994066666667,13.279636482499999,9.201949910385,1031.9433333333334,726.412,2008.0,Transit,CoRoT-4,0.0974441901351045
CoRoT-5 b,148.9017025,15.36526161,4.037903507218333,1383.3925,882.4720000000001,2009.0,Transit,CoRoT-5,0.041046845476666566
CoRoT-6 b,939.7051,13.140119666666665,8.886601924999999,1021.0,645.294,2009.0,Transit,CoRoT-6,0.414184290709684
CoRoT-8 b,69.28629000000001,6.92457725,6.2123515000000005,896.0,322.037,2010.0,Transit,CoRoT-8,0.2086736024113115
DS Tuc A b,413.179,5.835256053333333,8.138396725746667,843.355,44.0622,2019.0,Transit,DS Tuc A,2.079497903078763
EPIC 201595106 b,7.67,1.3676880224999999,0.87716675,1956.0,232.1,2021.0,Transit,EPIC 201595106,2.9980179799788345
EPIC 220674823 b,8.186666666666666,1.7072962825,0.5712738083333333,2204.8333333333335,244.59,2016.0,Transit,EPIC 220674823,1.6450550043887096
EPIC 246851721 b,953.49,12.742202765,6.180254762483333,1403.5149999999999,372.632,2018.0,Transit,EPIC 246851721,0.46087442375332216
EPIC 249893012 b,8.75,1.95,3.5951,1616.0,321.296,2020.0,Transit,EPIC 249893012,1.1800603516579848
EPIC 249893012 c,14.67,3.67,15.624,990.0,321.296,2020.0,Transit,EPIC 249893012,0.2967781485020806
EPIC 249893012 d,10.18,3.94,35.747,752.0,321.296,2020.0,Transit,EPIC 249893012,0.16644053861073882
GJ 1132 b,1.6654096379999999,1.225216214,1.6289302349616666,542.302,12.613,2015.0,Transit,GJ 1132,0.9054883505636803
GJ 1214 b,6.9487501428571425,2.656676222222222,1.5804041696810527,573.8,14.6427,2009.0,Transit,GJ 1214,0.3705875369790862
GJ 1252 b,1.5766666666666669,1.228628015,0.51824004349,1054.165,20.373,2020.0,Transit,GJ 1252,0.8501168896156682
GJ 143 b,26.665,2.86597,35.6049897,463.5,16.32,2019.0,Transit,GJ 143,1.1327306914050868
GJ 3090 b,3.34,2.0753399999999997,2.8531035,651.5,22.4751,2022.0,Transit,GJ 3090,0.37366179577485775
GJ 3470 b,13.701666666666668,4.258643972857143,3.336695005753636,604.538,29.421400000000002,2012.0,Radial Velocity,GJ 3470,0.17740236101653264
GJ 3473 b,1.86,1.23736694,1.19800153021,738.815,27.3644,2020.0,Transit,GJ 3473,0.9817873208626312
GJ 357 b,1.84,1.2289833333333333,3.9306364250000003,534.6666666666666,9.44181,2019.0,Transit,GJ 357,0.9912423373307334
GJ 3929 b,1.48,1.1124289133333332,2.61626212412,556.6766666666666,15.8095,2022.0,Transit,GJ 3929,1.0750902194286132
GJ 436 b,23.40087788888889,4.104684412999999,2.6419086331613637,649.61,9.75321,2004.0,Radial Velocity,GJ 436,0.33837076544377687
GJ 486 b,2.8633333333333333,1.3152848499999998,1.4671199511825002,685.665,8.07426,2021.0,Radial Velocity,GJ 486,1.2583818793488455
GJ 806 b,1.9,1.504615,0.9263237,1051.0,12.0445,2023.0,Transit,GJ 806,0.5577986252461424
GJ 9827 b,4.457142857142857,1.592272222222222,1.20897679,1111.0728571428572,29.661,2017.0,Transit,GJ 9827,1.1040903085943499
Gaia-1 b,533.95172376,13.215824235,3.05239627562,1159.07,363.66,2022.0,Transit,Gaia-1,0.2313232208713487
