feature,planet_name,n_measurements,min_value,max_value,mean_value,range,relative_range_pct
pl_masse,TrES-2 b,17,367.72931,473.5667,398.6152305882353,105.83739000000003,26.551265952336067
pl_masse,Kepler-10 b,10,3.24,4.608535,3.7708535,1.3685349999999996,36.29244678956633
pl_masse,HD 209458 b,11,197.05,235.1942,216.87100272727275,38.144199999999984,17.58842792273544
pl_masse,GJ 436 b,9,21.676006,25.4,23.40087788888889,3.7239939999999976,15.913907237506717
pl_masse,HAT-P-7 b,8,534.59006,584.8072,562.43389375,50.21713999999997,8.928540857518326
pl_masse,HAT-P-11 b,5,24.027948,28.6047,26.014673600000002,4.576752000000003,17.59296338048232
pl_masse,HD 189733 b,9,349.6,370.58978,362.49627444444445,20.989779999999996,5.790343647577777
pl_masse,Kepler-10 c,6,7.37,20.0,13.540000000000001,12.629999999999999,93.2791728212703
pl_masse,Kepler-25 c,6,2.34531,1322.12,232.29821511666663,1319.77469,568.1381104616635
pl_masse,KOI-13 b,3,2070.66245,2949.4624,2552.668283333333,878.7999500000001,34.42671951298125
pl_masse,Kepler-80 d,7,1.10539,8.93342,4.948401428571428,7.82803,158.19310767315625
pl_masse,Kepler-25 b,6,1.63,4036.3,678.995046865,4034.67,594.2119929487772
pl_masse,GJ 1214 b,7,6.261251,8.41,6.948750142857143,2.1487490000000005,30.922812819925216
pl_masse,WASP-4 b,12,368.36497,409.68287,385.90747524500006,41.31789999999995,10.706685578912035
pl_masse,55 Cnc e,10,7.74,8.63,8.152407,0.8900000000000006,10.917021193863365
pl_masse,Kepler-32 c,4,1.05,158.9,42.2370925,157.85,373.7236411336788
pl_masse,Kepler-37 d,3,2.0,62.5,25.566666666666666,60.5,236.6362451108214
pl_masse,Kepler-68 b,5,5.97,8.3,7.2613199999999996,2.330000000000001,32.087829760980114
pl_masse,Kepler-80 e,7,0.879387,6.3,3.531521,5.4206129999999995,153.49230544006392
pl_masse,KOI-94 d,4,52.1,106.0,72.35,53.9,74.49896337249481
pl_masse,Kepler-51 b,6,2.1,6.7,4.0556383333333335,4.6,113.42234247547549
pl_masse,Kepler-138 c,5,1.6,5.2,2.9800000000000004,3.6,120.80536912751676
pl_masse,WASP-47 b,9,341.0,383.0,363.6843222222222,42.0,11.548476916290255
pl_masse,Kepler-32 d,2,39.9089,67.4815,53.6952,27.572599999999994,51.35021379937126
pl_masse,Kepler-32 b,4,1.72,1303.0,329.05968,1301.28,395.45410121349414
pl_masse,Kepler-7 b,5,135.07775,143.97699,139.907688,8.899239999999992,6.360794125909644
pl_masse,Kepler-18 d,5,4.7,16.4,12.08,11.7,96.85430463576158
pl_masse,Kepler-80 c,6,1.11,6.74,3.698333333333333,5.63,152.23073456511943
pl_masse,WASP-12 b,10,416.3573,638.8383,466.719325,222.481,47.669121050430036
pl_masse,Kepler-11 f,6,1.7,2.5,2.1,0.8,38.095238095238095
pl_masse,Kepler-51 d,6,5.6,7.6,6.414999999999999,2.0,31.176929072486363
pl_masse,Kepler-52 c,3,29.9,62.9,46.06666666666666,33.0,71.63531114327063
pl_masse,Kepler-6 b,4,201.18639,212.619,207.93796,11.432610000000011,5.49808702557244
