pl_name,pl_masse,pl_rade,classification
KELT-21 b,1242.7153,18.571837,Gas Giant
TOI-3919 b,1233.174219,11.265835,Gas Giant
TOI-4641 b,1229.995935,8.971443,Gas Giant
MASCARA-1 b,1175.971,18.694914,Gas Giant
NGTS-33 b,1153.717117,18.449014,Gas Giant
WASP-173 A b,1149.483207,13.571576,Gas Giant
TOI-558 b,1147.360549,12.851511,Gas Giant
TOI-5301 b,1141.003981,12.987725,Gas Giant
HAT-P-69 b,1137.8314,18.398742,Gas Giant
CoRoT-2 b,1090.141167,16.429179,Gas Giant
HATS-61 b,1080.622,11.673263,Gas Giant
CoRoT-18 b,1072.663725,14.256277,Gas Giant
TOI-1107 b,1064.725163,14.234924,Gas Giant
TOI-2992 b,1058.368595,13.26791,Gas Giant
WASP-32 b,1058.3619,12.42211,Gas Giant
HATS-16 b,1039.3041,14.159362,Gas Giant
TOI-5153 b,1036.120607,11.61811,Gas Giant
HATS-36 b,1022.14128,13.328505,Gas Giant
TIC 46432937 b,1017.050902,13.316269,Gas Giant
WASP-10 b,1009.0935,12.554866,Gas Giant
TOI-1516 b,1004.337766,16.260457,Gas Giant
HATS-57 b,1000.21101,12.784026,Gas Giant
Kepler-43 b,998.4953,12.37221,Gas Giant
TOI-1431 b,991.62463,16.317041,Gas Giant
EPIC 246851721 b,953.49,12.742203,Gas Giant
TOI-2989 b,953.485221,13.003979,Gas Giant
TOI-2416 b,953.485221,10.704502,Gas Giant
CoRoT-23 b,948.184833,12.255357,Gas Giant
CoRoT-6 b,939.7051,13.14012,Gas Giant
NGTS-9 b,921.707,11.602327,Gas Giant
TOI-2152 A b,899.454392,14.83227,Gas Giant
WASP-38 b,894.890582,12.557138,Gas Giant
WASP-158 b,886.7457,12.398365,Gas Giant
TOI-778 b,878.0,15.32265,Gas Giant
CoRoT-10 b,875.0811,9.918931,Gas Giant
KELT-16 b,874.0325,16.49693,Gas Giant
HATS-22 b,870.8542,11.385989,Gas Giant
WASP-141 b,854.9627,13.472452,Gas Giant
WASP-99 b,848.593633,12.209341,Gas Giant
HATS-76 b,835.570882,11.925697,Gas Giant
TOI-4201 b,813.302257,12.882518,Gas Giant
Qatar-2 b,795.642376,12.810496,Gas Giant
WASP-161 b,791.3967,13.117794,Gas Giant
CoRoT-11 b,777.085875,17.073794,Gas Giant
WASP-140 b,775.5052,14.788852,Gas Giant
HAT-P-14 b,775.228551,13.711683,Gas Giant
CoRoT-17 b,773.374033,11.383548,Gas Giant
Kepler-17 b,769.137433,14.686692,Gas Giant
TOI-2485 b,766.602118,12.167663,Gas Giant
NGTS-3 A b,756.4354,14.912988,Gas Giant
TOI-1333 b,753.2571,15.429132,Gas Giant
NGTS-21 b,750.075041,14.907944,Gas Giant
HATS-24 b,746.9005,16.390188,Gas Giant
TOI-5232 b,743.718472,12.875819,Gas Giant
WASP-66 b,743.71455,15.093393,Gas Giant
TOI-4791 b,734.18362,12.726634,Gas Giant
WASP-36 b,733.609108,14.361204,Gas Giant
WASP-192 b,731.009,13.325035,Gas Giant
TOI-2046 b,731.005336,16.196891,Gas Giant
TOI-1518 b,731.005336,20.296671,Gas Giant
TOI-1820 b,731.005336,12.102719,Gas Giant
WASP-8 b,721.844192,11.975082,Gas Giant
TOI-3331 A b,721.470484,12.574,Gas Giant
HATS-52 b,711.9392,15.463919,Gas Giant
HAT-P-22 b,703.776728,12.354155,Gas Giant
WASP-61 b,703.191925,14.337606,Gas Giant
WASP-73 b,701.232123,13.886248,Gas Giant
HAT-P-31 b,700.41063,12.458223,Gas Giant
HD 118203 b,695.408555,12.67385,Gas Giant
WASP-87 b,692.8694,15.197031,Gas Giant
NGTS-10 b,687.14846,13.506845,Gas Giant
WASP-53 b,677.61356,12.235044,Gas Giant
HAT-P-56 b,676.9779,17.052332,Gas Giant
WASP-164 b,676.9779,12.776108,Gas Giant
TOI-150.01,676.9779,14.474997,Gas Giant
Kepler-5 b,666.720728,15.451962,Gas Giant
TOI-5218 b,657.0,9.623789,Gas Giant
TOI-5027 b,642.013382,11.021211,Gas Giant
TOI-1937 A b,638.835098,14.321849,Gas Giant
TOI-2981 b,638.0,12.8986,Gas Giant
TOI-4515 b,637.0,12.218198,Gas Giant
Kepler-76 b,636.709433,13.369788,Gas Giant
WASP-189 b,632.47853,18.14734,Gas Giant
HATS-18 b,629.223943,15.284771,Gas Giant
WASP-46 b,626.221767,13.547546,Gas Giant
HAT-P-15 b,625.95964,11.371681,Gas Giant
TOI-2384 b,624.850648,11.55781,Gas Giant
TOI-5616 b,624.0,10.86615,Gas Giant
WASP-3 b,622.023669,15.640016,Gas Giant
K2-114 b,621.885232,10.769576,Gas Giant
WASP-71 b,620.18232,15.218896,Gas Giant
TIC 237913194 b,617.22586,12.157875,Gas Giant
HAT-P-23 b,607.7038,14.344502,Gas Giant
WASP-43 b,606.09746,11.368923,Gas Giant
WASP-135 b,603.877,14.284724,Gas Giant
HAT-P-49 b,603.869367,16.737182,Gas Giant
HATS-42 b,597.5204,14.471157,Gas Giant
Qatar-7 b,597.5204,18.385849,Gas Giant
WASP-163 b,594.3421,14.144626,Gas Giant
TrES-3 b,592.071236,15.004813,Gas Giant
TOI-5634 A b,588.0,10.0461,Gas Giant
WASP-106 b,586.706974,11.868781,Gas Giant
WASP-100 b,582.41725,17.624258,Gas Giant
WASP-77 A b,576.876739,13.790347,Gas Giant
HAT-P-36 b,574.060453,14.405495,Gas Giant
HATS-1 b,572.87625,13.909341,Gas Giant
WASP-105 b,572.094,12.92797,Gas Giant
TOI-4961 b,572.091133,12.895509,Gas Giant
TrES-5 b,569.06868,13.607151,Gas Giant
TOI-3593 b,565.734564,11.358293,Gas Giant
WASP-114 b,562.24127,14.757515,Gas Giant
WASP-37 b,559.3688,13.170597,Gas Giant
WASP-72 b,543.341111,15.084254,Gas Giant
Gaia-1 b,533.951724,13.215824,Gas Giant
TOI-2977 b,533.951724,13.070822,Gas Giant
TOI-3364 b,530.77344,12.310749,Gas Giant
TOI-6029 b,519.649445,12.707166,Gas Giant
HAT-P-57 b,518.0629,17.47603,Gas Giant
WASP-170 b,508.528,12.866882,Gas Giant
TOI-2337 b,508.525451,10.82684,Gas Giant
