pl_name,pl_masse,pl_rade,density,hostname,disc_year,discoverymethod,planet_type
TOI-5573 b,112.0,9.449795,0.132724,TOI-5573,2025,Transit,Gas Giant
TOI-2986 b,96.619836,8.807758,0.141407,TOI-2986,2025,Transit,Gas Giant
TOI-6038 A b,78.5,5.56389,0.455758,TOI-6038 A,2025,Transit,Gas Giant
TOI-5786 b,73.0,7.699065,0.159959,TOI-5786,2025,Transit,Gas Giant
TOI-4734 b,61.658711,9.972264,0.062175,TOI-4734,2025,Transit,Gas Giant
TOI-2876 b,54.030829,9.501897,0.062981,TOI-2876,2025,Transit,Gas Giant
TOI-6894 b,53.395172,9.483356,0.062606,TOI-6894,2025,Transit,Gas Giant
WASP-195 b,33.054154,9.711311,0.03609,WASP-195,2025,Transit,Gas Giant
TOI-5108 b,32.0,6.44398,0.119588,TOI-5108,2025,Transit,Gas Giant
TOI-5795 b,23.66,5.523651,0.14039,TOI-5795,2025,Transit,Gas Giant
TOI-333 b,20.1,4.523242,0.217193,TOI-333,2025,Transit,Gas Giant
TOI-2322 c,18.1,1.891512,2.674551,TOI-2322,2025,Transit,Other
TOI-1422 c,14.0,2.61,0.78742,TOI-1422,2025,Radial Velocity,Other
TOI-1438 c,10.6,2.620975,0.588731,TOI-1438,2025,Transit,Other
HD 224018 c,10.4,2.42,0.733816,HD 224018,2025,Transit,Other
TOI-1803 b,10.32,2.987775,0.386933,TOI-1803,2025,Transit,Gas Giant
TOI-5817 b,10.3,3.053629,0.361733,TOI-5817,2025,Transit,Gas Giant
TOI-5800 b,10.15,2.657701,0.540689,TOI-5800,2025,Transit,Other
TOI-756 b,9.83,2.995561,0.365695,TOI-756,2025,Transit,Gas Giant
TOI-1438 b,9.4,2.649529,0.505385,TOI-1438,2025,Transit,Other
TOI-3493 b,8.97,3.295472,0.250634,TOI-3493,2025,Transit,Gas Giant
TOI-1117 b,8.9,2.51389,0.56021,TOI-1117,2025,Transit,Other
TOI-1803 c,8.0,4.253465,0.103959,TOI-1803,2025,Transit,Gas Giant
TOI-1203 d,7.39,2.941073,0.290487,TOI-1203,2025,Transit,Gas Giant
TOI-283 b,6.54,2.177055,0.633825,TOI-283,2025,Transit,Other
Ross 176 b,4.57,2.032235,0.544496,Ross 176,2025,Transit,Other
TOI-1011 b,4.04,1.44828,1.329915,TOI-1011,2025,Transit,Other
TOI-512 b,3.57,1.532729,0.991453,TOI-512,2025,Transit,Rocky
TOI-1203 b,3.51,1.52,0.999485,TOI-1203,2025,Radial Velocity,Rocky
TOI-2345 b,3.49,1.462154,1.116467,TOI-2345,2025,Transit,Rocky
TOI-1453 c,2.95,2.17573,0.286422,TOI-1453,2025,Transit,Gas Giant
TOI-1453 b,2.32,1.173525,1.435526,TOI-1453,2025,Transit,Other
