pl_name,pl_masse,pl_rade,pl_orbper,pl_eqt,sy_dist,discoverymethod,disc_year,hostname
WASP-39 b,88.989,14.235,4.055259,,213.982,Transit,2011,WASP-39
HAT-P-1 b,169.08556,13.921578,4.46543,1306.0,158.979,Transit,2006,HAT-P-1
HR 8799 d,3000.0,13.0,37000.0,,41.2441,Imaging,2008,HR 8799
HD 156279 b,,,131.05,,36.1945,Radial Velocity,2011,HD 156279
GJ 832 b,,,3507.0,,4.96435,Radial Velocity,2008,GJ 832
GJ 3470 b,14.0,4.2,3.33714,615.0,29.4214,Radial Velocity,2012,GJ 3470
WASP-62 b,181.155,15.581,4.411953,,175.631,Transit,2012,WASP-62
GJ 1214 b,6.43,2.27,1.58040482,,14.6427,Transit,2009,GJ 1214
HD 24040 b,,,3668.0,,46.6224,Radial Velocity,2006,HD 24040
WASP-17 b,168.13207,,,,405.908,Transit,2009,WASP-17
WASP-19 b,356.92309,,,,268.325,Transit,2009,WASP-19
WASP-96 b,152.55,13.45,3.4252602,1285.0,352.464,Transit,2014,WASP-96
HD 168443 c,,,1749.83,,39.6245,Radial Velocity,2000,HD 168443
HAT-P-1 b,,,4.46529974,,158.979,Transit,2006,HAT-P-1
GJ 3470 b,13.73,3.88,3.3366487,604.0,29.4214,Radial Velocity,2012,GJ 3470
HD 12661 c,,,1679.0,,37.8478,Radial Velocity,2002,HD 12661
HD 66428 b,,,1973.0,,53.2817,Radial Velocity,2005,HD 66428
HD 114783 b,,,496.9,,21.0628,Radial Velocity,2001,HD 114783
HD 187123 b,,,3.097,,45.9548,Radial Velocity,1998,HD 187123
HD 12661 b,,,262.709,,37.8478,Radial Velocity,2000,HD 12661
HD 168443 b,,,58.11212,,39.6245,Radial Velocity,1998,HD 168443
HD 217107 b,,,7.126816,,20.0619,Radial Velocity,1998,HD 217107
HD 114783 b,,,493.7,,21.0628,Radial Velocity,2001,HD 114783
WASP-17 b,156.0,19.5,3.7354417,,405.908,Transit,2009,WASP-17
HAT-P-11 b,25.743,4.73,4.8878162,878.0,37.7647,Transit,2008,HAT-P-11
GJ 1214 b,6.55,2.678,1.5803925,555.0,14.6427,Transit,2009,GJ 1214
HAT-P-1 b,166.536,13.731,4.4652934,,158.979,Transit,2006,HAT-P-1
HD 168443 b,,,58.1112,,39.6245,Radial Velocity,1998,HD 168443
HD 217107 b,,,7.12689,,20.0619,Radial Velocity,1998,HD 217107
HD 217107 c,,,3352.0,,20.0619,Radial Velocity,2005,HD 217107
HD 68988 b,,,6.276,,60.8447,Radial Velocity,2001,HD 68988
HD 114783 b,,,501.0,,21.0628,Radial Velocity,2001,HD 114783
HD 168443 c,,,1749.5,,39.6245,Radial Velocity,2000,HD 168443
HD 217107 b,,,7.1269,,20.0619,Radial Velocity,1998,HD 217107
HD 183263 b,,,634.23,,54.1955,Radial Velocity,2004,HD 183263
HD 17156 b,,,21.2,,78.0863,Radial Velocity,2007,HD 17156
HD 72659 b,,,2185.0,,51.8949,Radial Velocity,2002,HD 72659
HAT-P-1 b,166.86075,14.784671,4.46529976,1322.0,158.979,Transit,2006,HAT-P-1
51 Eri b,635.66,,,700.0,29.7575,Imaging,2015,51 Eri
GJ 1214 b,,,,,14.6427,Transit,2009,GJ 1214
GJ 1214 b,,,1.58040481,,14.6427,Transit,2009,GJ 1214
WASP-43 b,,,0.81347436,,86.7467,Transit,2011,WASP-43
GJ 1214 b,,,1.58040481,,14.6427,Transit,2009,GJ 1214
WASP-19 b,354.06262,15.636555,0.78883942,2067.0,268.325,Transit,2009,WASP-19
HR 8799 b,2000.0,13.0,170000.0,,41.2441,Imaging,2008,HR 8799
WASP-19 b,,,,,268.325,Transit,2009,WASP-19
WASP-19 b,370.27195,15.423584,0.788839,2058.0,268.325,Transit,2009,WASP-19
GJ 1214 b,,,1.580408346,,14.6427,Transit,2009,GJ 1214
GJ 1214 b,6.261251,2.847086,1.58040456,,14.6427,Transit,2009,GJ 1214
51 Eri b,,,14965.0,,29.7575,Imaging,2015,51 Eri
WASP-43 b,,,0.81347753,,86.7467,Transit,2011,WASP-43
HR 8799 b,,6.7254,,1200.0,41.2441,Imaging,2008,HR 8799
HR 8799 c,,11.209,,1200.0,41.2441,Imaging,2008,HR 8799
HR 8799 e,,10.0881,,1300.0,41.2441,Imaging,2010,HR 8799
HR 8799 c,,,83255.09,,41.2441,Imaging,2008,HR 8799
HR 8799 d,,,41627.54,,41.2441,Imaging,2008,HR 8799
HR 8799 e,,,20815.6,,41.2441,Imaging,2010,HR 8799
GJ 3470 b,,,3.3366413,,29.4214,Radial Velocity,2012,GJ 3470
GJ 1214 b,,2.61,1.5804043,,14.6427,Transit,2009,GJ 1214
HAT-P-1 b,168.4499,14.79588,4.46,1320.0,158.979,Transit,2006,HAT-P-1
WASP-17 b,162.0933,21.18501,3.73,1740.0,405.908,Transit,2009,WASP-17
HD 217107 c,,,5189.0,,20.0619,Radial Velocity,2005,HD 217107
HD 66428 b,,,2293.9,,53.2817,Radial Velocity,2005,HD 66428
HAT-P-11 b,26.69772,4.449973,4.88781501,838.0,37.7647,Transit,2008,HAT-P-11
HD 17156 b,1036.76146,11.937585,21.216398,883.0,78.0863,Radial Velocity,2007,HD 17156
WASP-43 b,572.1,10.42,0.8,1350.0,86.7467,Transit,2011,WASP-43
WASP-19 b,362.3262,15.80469,0.79,2050.0,268.325,Transit,2009,WASP-19
WASP-39 b,88.9924,14.23543,4.06,1120.0,213.982,Transit,2011,WASP-39
K2-25 b,,3.43,3.484552,,44.9565,Transit,2015,K2-25
WASP-17 b,143.97699,22.261074,3.735433,,405.908,Transit,2009,WASP-17
HAT-P-1 b,168.13207,14.784671,4.4652968,1322.0,158.979,Transit,2006,HAT-P-1
HAT-P-11 b,,4.71,4.887802706,,37.7647,Transit,2008,HAT-P-11
GJ 1214 b,,,1.58040417,604.0,14.6427,Transit,2009,GJ 1214
HD 12661 b,,,262.709,,37.8478,Radial Velocity,2000,HD 12661
HD 12661 c,,,1708.0,,37.8478,Radial Velocity,2002,HD 12661
HD 11506 b,,,1627.5,,51.261,Radial Velocity,2007,HD 11506
HD 11506 c,,,223.6,,51.261,Radial Velocity,2008,HD 11506
WASP-39 b,,,4.0552947,,213.982,Transit,2011,WASP-39
WASP-43 b,,,0.81347409,,86.7467,Transit,2011,WASP-43
HD 24040 b,,,3490.0,,46.6224,Radial Velocity,2006,HD 24040
HD 183263 b,,,625.1,,54.1955,Radial Velocity,2004,HD 183263
HD 183263 c,,,4684.0,,54.1955,Radial Velocity,2008,HD 183263
